Fri Aug 11 15:17:42 2023    stats.prof

         14279460 function calls (13935027 primitive calls) in 18.086 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      452    0.001    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\ir\instructions.py:343(__init__)
      163    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\pythonapi.py:1283(_get_function)
      117    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\postproc.py:38(cfg)
      425    0.002    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typed_passes.py:757(select_template)
        1    0.000    0.000    0.005    0.005 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\np\arrayobj.py:5121(check_sequence_shape)
     4462    0.002    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typing\npydecl.py:219(<genexpr>)
      2/1    0.000    0.000    0.005    0.005 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\np\arrayobj.py:5130(check_seq_size)
      378    0.001    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\ir\instructions.py:509(__init__)
      217    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\binding\passmanagers.py:728(initialize)
      130    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\controlflow.py:271(loops)
      359    0.001    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\ir\builder.py:826(branch)
  466/277    0.002    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\basic.py:204(compare)
      468    0.002    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typeinfer.py:1649(typeof_expr)
       86    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\cgutils.py:124(_make_refs)
        1    0.001    0.001    0.005    0.005 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\dispersion.py:106(dkperp)
       62    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\importlib\metadata\__init__.py:930(read_text)
     1292    0.002    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typeinfer.py:54(add_type)
       28    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\callconv.py:768(return_status_propagate)
     1690    0.002    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typing\npydecl.py:99(<listcomp>)
     2865    0.002    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typing\context.py:52(__getitem__)
     3427    0.002    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\ir\types.py:30(__ne__)
       51    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\callconv.py:802(get_function_type)
      143    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\controlflow.py:218(_loops)
      312    0.002    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\mpmath\libmp\libmpf.py:1205(to_str)
      591    0.001    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\cgutils.py:158(__setattr__)
     2636    0.001    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\bytecode.py:200(_fetch_opcode)
        1    0.000    0.000    0.005    0.005 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\np\arrayobj.py:5162(assign_sequence_to_array)
      3/1    0.000    0.000    0.005    0.005 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\np\arrayobj.py:5175(assign)
       38    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\binding\module.py:207(clone)
    28814    0.005    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\targetconfig.py:38(default)
      357    0.001    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\ir\instructions.py:549(descr)
     1113    0.002    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\warnings.py:165(simplefilter)
       11    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\cgutils.py:694(get_item_pointer)
      732    0.001    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\ir\builder.py:281(goto_entry_block)
      117    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\transforms.py:306(yield_loops_with_multiple_backedges)
  140/129    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\expr.py:225(_pow)
      871    0.002    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typeinfer.py:667(_add_refine_map)
       25    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\expr.py:220(__rmul__)
       22    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\pythonapi.py:1356(serialize_uncached)
        1    0.000    0.000    0.005    0.005 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\typed\dictobject.py:1(<module>)
        3    0.000    0.000    0.005    0.002 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\imputils.py:192(imp)
      143    0.001    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\controlflow.py:661(_find_loops)
        1    0.000    0.000    0.005    0.005 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\cpython\listobj.py:1(<module>)
     6958    0.004    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\utils.py:342(key)
      114    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       37    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\callconv.py:778(_get_return_status)
      6/5    0.000    0.000    0.005    0.001 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\power.py:282(__new__)
      438    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\mul.py:1302(<genexpr>)
       18    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\cpython\listobj.py:44(size)
       13    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\removerefctpass.py:99(remove_unnecessary_nrt_usage)
      780    0.001    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\ir\values.py:1121(__init__)
      108    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      266    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\datamodel\models.py:135(contains_nrt_meminfo)
      860    0.003    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\ir.py:1264(find_exprs)
     6747    0.003    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\logging\__init__.py:1467(debug)
      303    0.001    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\ir\builder.py:834(cbranch)
       11    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\importlib\metadata\__init__.py:914(<genexpr>)
       12    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\cpython\listobj.py:34(get_itemsize)
     1690    0.002    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typing\npydecl.py:75(<listcomp>)
      196    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
       10    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\importlib\metadata\__init__.py:812(search)
      356    0.001    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:546(__exit__)
      203    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\mul.py:1559(_eval_is_odd)
     1690    0.002    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typing\npydecl.py:53(<listcomp>)
      519    0.001    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\ir\instructions.py:30(descr)
      108    0.001    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\extending.py:351(_register)
      878    0.002    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typeinfer.py:1180(check_var)
     3854    0.003    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\basic.py:126(__new__)
        1    0.000    0.000    0.005    0.005 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\vector\vector.py:1(<module>)
      666    0.001    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\ir\values.py:507(__hash__)
       14    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\codegen.py:1150(create_library)
    10948    0.005    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\enum.py:791(__getitem__)
      264    0.002    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\ir_utils.py:1566(find_callname)
       14    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\codegen.py:643(__init__)
     4632    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:405(parent)
 1569/598    0.002    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\expr.py:408(is_number)
      153    0.001    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\integrate\_ode.py:753(find_integrator)
       98    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
     2755    0.001    0.000    0.005    0.000 {built-in method builtins.setattr}
      531    0.001    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\mul.py:1292(_eval_is_rational)
     2648    0.004    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\errors.py:243(__exit__)
     2802    0.002    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\numbers.py:2238(__eq__)
       98    0.005    0.000    0.005    0.000 {method 'read' of '_io.BufferedReader' objects}
     5296    0.005    0.000    0.005    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.005    0.005 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\power.py:798(_eval_is_finite)
     2566    0.001    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\byteflow.py:1680(has_active_try)
       13    0.000    0.000    0.005    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\config.py:530(reload_config)
    19997    0.005    0.000    0.005    0.000 {method 'copy' of 'dict' objects}
        3    0.000    0.000    0.004    0.001 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typing\templates.py:1079(_get_function_type)
       13    0.001    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\config.py:92(update)
        2    0.000    0.000    0.004    0.002 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\np\ufunc\array_exprs.py:191(apply)
        1    0.000    0.000    0.004    0.004 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\np\npdatetime.py:1(<module>)
    15699    0.004    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\ir\_utils.py:13(is_used)
 1249/251    0.003    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\basic.py:528(free_symbols)
      559    0.001    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\numbers.py:2257(__lt__)
        4    0.000    0.000    0.004    0.001 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\np\arrayobj.py:5064(_get_seq_size)
       52    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\compiler_machinery.py:246(finalize)
      100    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\utilities\iterables.py:1135(rotate_left)
    10535    0.004    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\facts.py:482(_tell)
        2    0.000    0.000    0.004    0.002 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\add.py:455(_eval_power)
       13    0.001    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typed_passes.py:905(_strip_phi_nodes)
      169    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\controlflow.py:206(_back_edges)
       13    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\funcdesc.py:187(from_specialized_function)
      117    0.003    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\analysis.py:190(compute_live_variables)
        6    0.000    0.000    0.004    0.001 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\add.py:458(<genexpr>)
      866    0.001    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\ir.py:1194(redefine)
      325    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\types\functions.py:266(augment)
  169/165    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\numbers.py:1291(__mul__)
       13    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\funcdesc.py:166(_from_python_function)
       68    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\interpreter.py:1558(_end_current_block)
    14729    0.004    0.000    0.004    0.000 {method 'update' of 'set' objects}
      270    0.001    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\ir\builder.py:977(insert_value)
      452    0.001    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\ir\instructions.py:359(descr)
      720    0.002    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\analysis.py:66(fix_point_progress)
      191    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\interpreter.py:2145(op_LOAD_FAST)
    18698    0.004    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typing\templates.py:50(args)
       98    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      689    0.001    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\cpu_options.py:112(_get_values)
     1170    0.002    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\interpreter.py:1815(get)
    10947    0.004    0.000    0.004    0.000 {built-in method numba.core.typeconv._typeconv.check_compatible}
       75    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\cgutils.py:173(__setitem__)
       53    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\callconv.py:737(check_try_status)
       31    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\pythonapi.py:287(err_set_string)
    19777    0.004    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\basic.py:750(args)
       10    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\importlib\metadata\_functools.py:75(wrapper)
       13    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\funcdesc.py:38(__init__)
     1132    0.002    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\operations.py:108(_from_args)
      817    0.002    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\ir\instructions.py:433(descr)
     36/8    0.000    0.000    0.004    0.001 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\expr.py:113(sort_key)
    23631    0.004    0.000    0.004    0.000 {built-in method builtins.id}
        5    0.000    0.000    0.004    0.001 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\consts.py:73(_infer_expr)
       52    0.002    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\compiler_machinery.py:370(dependency_analysis)
      912    0.002    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\ir\instructions.py:675(descr)
       98    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
      102    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\binding\context.py:8(get_global_context)
        1    0.004    0.004    0.004    0.004 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\conductivity.py:32(<listcomp>)
       82    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\cpython\mathimpl.py:131(float_impl)
       22    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\expr.py:205(__sub__)
       18    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\cpython\listobj.py:60(_gep)
      172    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\mul.py:33(_mulsort)
       10    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\importlib\metadata\__init__.py:821(lookup)
     1553    0.003    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\ir.py:1535(get_definition)
     1279    0.001    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typing\context.py:408(_get_global_type)
       10    0.001    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\importlib\metadata\__init__.py:827(__init__)
      266    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\datamodel\models.py:97(traverse_models)
       56    0.001    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\np\ufunc\array_exprs.py:33(match)
       76    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typeinfer.py:217(__call__)
     5296    0.004    0.000    0.004    0.000 {built-in method msvcrt.get_osfhandle}
       26    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\base.py:284(mangler)
     1279    0.003    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\traceback.py:236(clear_frames)
      169    0.002    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\controlflow.py:578(_find_back_edges)
       62    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\pathlib.py:1053(read_text)
       68    0.002    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\interpreter.py:1625(_remove_unused_temporaries)
       26    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\funcdesc.py:12(default_mangler)
7444/6993    0.003    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\basic.py:153(__hash__)
       26    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\itanium_mangler.py:170(mangle)
    635/3    0.002    0.000    0.004    0.001 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\utilities\lambdify.py:1275(_imp_namespace)
       24    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\callwrapper.py:38(cleanup_arg)
       13    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\removerefctpass.py:37(_legalize)
24614/24609    0.004    0.000    0.004    0.000 {built-in method builtins.iter}
     1465    0.001    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\byteflow.py:368(op_CACHE)
       82    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\cpython\mathimpl.py:99(call_fp_intrinsic)
     2562    0.002    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\byteflow.py:280(_is_implicit_new_block)
       21    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\datamodel\models.py:557(_from)
       12    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\ssa.py:130(_fresh_vars)
       37    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\base.py:652(get_returned_value)
     1102    0.002    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\ir.py:1156(define)
        4    0.000    0.000    0.004    0.001 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\cpython\listobj.py:485(list_len)
       50    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\base.py:980(_make_helper)
 2538/574    0.001    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\basic.py:544(<genexpr>)
       59    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\np\npyfuncs.py:922(np_real_cos_impl)
        1    0.000    0.000    0.004    0.004 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\typed\listobject.py:1(<module>)
        7    0.000    0.000    0.004    0.001 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\errors.py:322(indicate)
       56    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\rewrites\static_getitem.py:13(match)
      765    0.001    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\re\__init__.py:163(match)
      207    0.001    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\llvmlite\ir\values.py:806(descr)
       37    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\codegen.py:1199(_create_empty_module)
      784    0.001    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\core\mul.py:2024(<lambda>)
      149    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typeinfer.py:196(__call__)
     3546    0.002    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\np\numpy_support.py:397(<listcomp>)
      367    0.002    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\sympy\combinatorics\permutations.py:1316(__mul__)
       18    0.000    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\cpython\listobj.py:56(data)
      871    0.002    0.000    0.004    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\typeinfer.py:515(<listcomp>)
     5296    0.004    0.000    0.004    0.000 C:\Users\Sahas\AppData\Roaming\Python\Python311\site-packages\colorama\ansitowin32.py:131(get_win32_calls)
