Fri Aug 11 15:17:42 2023    stats.prof

         14279460 function calls (13935027 primitive calls) in 18.086 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     13/5    0.000    0.000    2.492    0.498 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\lowering.py:182(lower)
     13/5    0.000    0.000    2.379    0.476 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\lowering.py:233(lower_normal_function)
     13/5    0.000    0.000    2.373    0.475 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\lowering.py:250(lower_function_body)
     54/5    0.006    0.000    2.373    0.475 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\lowering.py:275(lower_block)
1710/1010    0.010    0.000    2.359    0.002 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\lowering.py:457(lower_inst)
  815/505    0.004    0.000    2.315    0.005 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\lowering.py:665(lower_assign)
  403/270    0.002    0.000    2.299    0.009 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\lowering.py:1185(lower_expr)
        1    0.000    0.000    1.776    1.776 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\orbitcreation.py:53(solveforpoints)
        2    0.000    0.000    1.775    0.888 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\orbitcreation.py:85(<listcomp>)
      402    0.002    0.000    1.775    0.004 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\orbitcreation.py:66(getpoint)
      402    0.001    0.000    1.772    0.004 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\optimize\_minpack_py.py:48(fsolve)
      402    0.004    0.000    1.771    0.004 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\optimize\_minpack_py.py:184(_root_hybr)
     5768    0.033    0.000    1.752    0.000 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\orbitcreation.py:70(energyAlongPhi)
      402    0.001    0.000    1.718    0.004 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\optimize\_minpack_py.py:24(_check_func)
468124/408351    0.577    0.000    1.679    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      312    0.023    0.000    1.608    0.005 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\orbitcreation.py:143(binaryfindintersection)
    68581    1.165    0.000    1.594    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\integrate\_ivp\ivp.py:130(find_active_events)
    19344    0.045    0.000    1.558    0.000 c:\Users\Sahas\OneDrive\Documents\Cornell Semester 2\Nd LSCO\Modelling\Python code\boltzmann_transport_git\boltzmann_transport\orbitcreation.py:151(extendedinterpolatedcurve)
    19344    0.036    0.000    1.513    0.000 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\scipy\interpolate\_polyint.py:58(__call__)
    25/20    0.000    0.000    1.496    0.075 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\base.py:844(compile_subroutine)
      7/6    0.000    0.000    1.495    0.249 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\base.py:806(_compile_subroutine_no_cache)
      7/6    0.000    0.000    1.439    0.240 C:\Users\Sahas\AppData\Local\Programs\Python\Python311\Lib\site-packages\numba\core\compiler.py:809(compile_internal)
