Temperature (K),Resistivity (uOhm-cm)
2.08498511314392,-0.027637723961130498
2.68613195419312,-0.0049522374415813105
3.19956064224243,0.0228451606199087
3.72277865409851,-0.0156559413691962
4.23000659942627,0.038660974364335604
4.77439212799072,-0.0150170457506025
5.28397922515869,-0.011981516715757999
5.78894863128662,-0.0319515017882192
6.3016731262207,-0.035625607311215494
6.80511627197266,0.012780607426784099
7.29433088302612,-0.0262000307731413
7.80393934249878,0.0103843441763131
8.30863208770752,-0.0127804160518664
8.81879177093506,-0.0175731645063742
9.35009021759033,0.00862695642210479
9.82492599487305,-0.0345070828035731
10.3452785491943,-0.0314718323505459
10.8502250671387,0.0183719807998722
11.3499053955078,-0.013099912525592
11.8480728149414,0.010543971800775301
12.3499481201172,-0.0150171654815112
12.8853740692139,0.005431865585921371
13.3856037139893,-0.0321111836092314
13.8484540939331,0.0174136120518884
14.3746984481812,-0.005751284503563321
14.875040435791,-0.0143780674845498
15.3389625549316,-0.029714607307572503
15.8785758972168,-0.0222060964235999
16.3698104858398,-0.0167742882562331
16.8547943115234,0.00351456121471098
17.3797519683838,0.00527190747801031
17.8561496734619,-0.0170938626811939
18.3397064208984,0.011502441525168999
18.8895511627197,0.0025560853502707
19.3895648956299,-0.0172536070577304
19.8785327911377,-0.007509060235765661
20.3725479125977,0.0071890747772398005
20.86962890625,-0.0158160215333306
21.4609310150146,-0.0247618177481376
21.9534099578857,-0.0028755527043693705
22.5254550933838,0.0250816626847058
23.1261768341064,-0.0174132742885329
23.6684154510498,0.00718907860716986
24.1343635559082,-0.0487251660850138
24.5848701477051,-0.07093146701472029
25.0893859863281,-0.025560976546809198
25.6053691864014,-0.0327497484556117
26.1107734680176,-0.0183718051094298
26.5858600616455,-0.0100645229184393
27.0092712402344,-0.029554913935977603
27.4549777984619,0.358814339698783
27.9286254882812,1.2678246405956002
28.5113574981689,4.75718446615103
29.0612670898437,10.4649550085397
29.6105754852295,14.614187300597399
30.1114330291748,16.8302069349509
30.6437755584717,18.9458533964659
31.1098251342773,20.690577912487502
31.5960132598877,21.798446045110097
32.0635559082031,22.7729055952085
32.5468727111816,23.4225404811533
33.0349411010742,23.9576892672401
33.5112457275391,24.230172818428603
33.9905143737793,24.571620143557798
34.4566299438477,24.8299442035587
34.941739654541,25.1252690977172
35.4218330383301,25.3929831832647
35.8968032836914,25.687662653232902
36.4314079284668,26.0585151259836
36.9057846069336,26.3312690979556
37.4304817199707,26.6416743084004
37.9062377929688,26.9059755143366
38.3959014892578,27.219320492524897
38.8989143371582,27.532520051065198
39.4022018432617,27.8232328515304
39.9017349243164,28.14965314771
40.4324836730957,28.4593955035272
40.8858535766602,28.730647967834198
41.4108329772949,29.041958066978
41.8884323120117,29.3480589554498
42.379052734375,29.612350201136202
42.8853729248047,29.927538821571797
43.4021392822266,30.211327754353203
43.8990837097168,30.522621917097197
44.4189910888672,30.840226396134
44.9395431518555,31.142479142076102
45.4468315124512,31.464380970911
45.9102737426758,31.7301702381749
46.4215606689453,32.05496053946651
46.8900665283203,32.30751163865391
47.3866661071777,32.6113151954977
47.8914360046387,32.875295183376295
48.3952476501465,33.2459125942306
48.9265251159668,33.5388848773743
49.4318893432617,33.823892446725
49.9303825378418,34.1516349660723
50.418383026123,34.4220348329921
50.9036926269531,34.7387887066916
51.4287055969238,35.000725847325796
51.911368560791,35.3225569583868
52.3982376098633,35.5887715283193
52.906812286377,35.8756690550792
53.4218559265137,36.197805447798004
53.9228164672852,36.499793251094104
54.4111778259277,36.790547386596096
54.8990028381348,37.0852432909765
55.4161224365234,37.4106785184459
55.9136299133301,37.6921875500365
56.4228042602539,37.9825407854821
56.8938919067383,38.2591941952705
57.4007835388184,38.5627915749424
57.9133094787598,38.867945741666006
58.4262214660645,39.175731406400104
58.9304618835449,39.5243336770095
59.4038352966309,39.7601943855223
59.9470146179199,40.089136616964105
60.4503364562988,40.3753912095961
60.9308250427246,40.6562254342594
61.4151527404785,40.9194185623997
61.8834846496582,41.2558444275668
62.4068206787109,41.543085582946496
62.9460807800293,41.8702369614651
63.4531700134277,42.1609826307548
63.9509544372559,42.4422053051622
64.421354675293,42.724826398648695
64.9031265258789,43.0212274978035
65.4247100830078,43.3370978973414
65.928271484375,43.630273867594596
66.4576034545898,43.925502645342
66.9594711303711,44.2237135218947
67.4477157592773,44.5154442598945
67.9265472412109,44.8142069342889
68.450439453125,45.1227794587612
68.9452178955078,45.4108209202164
69.4489562988281,45.6886202567502
69.9667419433594,45.986224554086995
70.466276550293,46.3095262960384
70.9719497680664,46.6157581617958
71.4756118774414,46.89786331434
71.9538436889648,47.1981479149116
72.4567611694336,47.464202124821504
72.9570922851563,47.7824121870493
73.4529693603516,48.048772176629605
73.9308410644531,48.3551076289855
74.4275985717773,48.6355603760795
74.9203399658203,48.9616250913394
75.4395614624023,49.228989074104696
75.9478637695313,49.5495368069724
76.4543792724609,49.8744780060492
76.9641738891602,50.1351925260142
77.4467803955078,50.4491007563315
77.9494934082031,50.7366173126196
78.4469985961914,50.9665018712219
78.9486633300781,51.3308169339833
79.4606155395508,51.6195257321784
79.9638229370117,51.8956208699628
80.4479797363281,52.2142761553589
80.9588638305664,52.5139950137389
81.4775970458984,52.8173204785899
81.9759994506836,53.0755379639174
82.4647994995117,53.404891553678
82.9739807128906,53.6646389333825
83.4808944702148,53.9763798133323
83.975959777832,54.269109564392195
84.4559432983398,54.5825775516661
84.9580001831055,54.8688271641731
85.4761001586914,55.1618118976292
85.9831604003906,55.486133569165304
86.499919128418,55.807145449676
86.9919067382812,56.035221226905506
87.5017395019531,56.358664404404806
88.0145080566406,56.6589908380257
88.4923904418945,56.9207412239752
89.0062408447266,57.2304462288555
89.4940734863281,57.524000688603095
90.0049896240234,57.8270761511828
90.5118789672852,58.1482085507167
91.0247619628906,58.4160317010001
91.5318344116211,58.6973918268555
92.0523910522461,59.0482974052429
92.5610458374023,59.3469774095636
93.0602951049805,59.6149200828452
93.5727066040039,59.8978419758772
94.0561447143555,60.190678301610504
94.5791198730469,60.5069979084166
95.066618347168,60.793505491394804
95.5892608642578,61.0864364395016
96.0757522583008,61.43250631658649
96.5861465454102,61.7124869478376
97.1068542480469,62.0244160765096
97.6093185424805,62.359414139860604
98.0897445678711,62.5900895423011
98.5944488525391,62.886354186032996
99.09736328125,63.135074573127795
99.5743591308594,63.50023526110151
100.077172851562,63.7496090405866
100.585815429688,64.1008034662197
101.068461608887,64.3299031571338
101.582952880859,64.66893312962429
102.089755249023,64.979545513266
102.594779968262,65.24106183334399
103.105754089355,65.53958048161711
103.616923522949,65.8354108584555
104.113551330566,66.1582066197144
104.628898620605,66.427751897197
105.121362304687,66.71726847165509
105.626139831543,67.0076167269757
106.15110168457,67.3553459816857
106.668293762207,67.6633896168909
107.185571289062,67.9314727296955
107.687489318848,68.281771728867
108.167088317871,68.5674595832825
108.708682250977,68.9033988902444
109.227931213379,69.207409620285
109.717170715332,69.4696221618276
110.231018066406,69.74703404464219
110.753546142578,70.1100612470978
111.259648132324,70.39583675171201
111.770330810547,70.6886959860199
112.293988037109,71.0040614008904
112.804948425293,71.325346192247
113.301141357422,71.6057650744915
113.821769714355,71.9297889345571
114.329312133789,72.1983999406037
114.842086791992,72.50007100795449
115.358851623535,72.8278996834629
115.877416992188,73.1487761045757
116.396635437012,73.4512858249639
116.893212890625,73.7417565913577
117.427989196777,74.027922537766
117.936315917969,74.3639943160509
118.434747314453,74.7075004248243
118.926918029785,74.9836483519328
119.433465576172,75.2943115328488
119.937545776367,75.5846558040694
120.435023498535,75.86848009573791
120.967640686035,76.2540393754056
121.480796813965,76.5066651764669
121.991822814941,76.8040423801071
122.503213500977,77.1642388795552
123.012818908691,77.45628037735041
123.528216552734,77.7461844055276
124.01767578125,78.06691341494259
124.523042297363,78.3628294499297
125.026232910156,78.6765026183505
125.511235046387,78.98260699290981
126.030581665039,79.27207874624351
126.546211242676,79.5570942837941
127.061016845703,79.8970137065963
127.58489074707,80.2193911373615
128.082760620117,80.5245333517853
128.579580688477,80.8593232459144
129.099673461914,81.0895972502859
129.599523925781,81.47206088429999
130.082110595703,81.7068907069533
130.595953369141,82.04629916893809
131.111431884766,82.3611546190162
131.644183349609,82.67052495950149
132.156173706055,83.0158358655478
132.664105224609,83.30597993574641
133.176370239258,83.6073950246761
133.6896484375,83.9162663566439
134.177474975586,84.22207989190761
134.700286865234,84.5558857133514
135.196691894531,84.8226032759014
135.72405090332,85.1471859059836
136.220135498047,85.49198585121259
136.725393676758,85.7811876817754
137.228323364258,86.07941549075281
137.735150146484,86.38980874889779
138.232595825195,86.7125128758581
138.741659545898,87.014511635429
139.259854125977,87.3228969072041
139.784033203125,87.63652923860049
140.290246582031,87.9836897630441
140.80712890625,88.27190353682171
141.311282348633,88.60661773305189
141.823876953125,88.8985666005235
142.320626831055,89.2163085310083
142.82239074707,89.5595088601112
143.348666381836,89.8543661205392
143.867361450195,90.2142299476423
144.375183105469,90.47235579867109
144.866534423828,90.7542408296937
145.384466552734,91.1319613927289
145.889883422852,91.4228604498662
146.394311523437,91.7512160225918
146.900158691406,92.06342005415969
147.406372070313,92.3478349886443
147.893640136719,92.6445010304451
148.423745727539,92.9798686190656
148.923330688477,93.31997330251501
149.433505249023,93.6399762097158
149.965637207031,93.95285953032341
150.473651123047,94.25209531658581
150.961260986328,94.5505402590099
