LSCO 2601C, x = 22%
T=35 K, B = 45.0 T, theta= -14 to 99, phi = 0
Fixed parameters:
T=0.19,T1multvalue=-0.134,T11multvalue=0.067,mumultvalue=0.805
cost,Tzmultvalue,invtau_iso,strength,spread_xy,angular_var
0.1202189341013193,0.0645,11.0,250.0,0.2,2.0
0.1258139714717338,0.0645000149011612,11.0,250.0,0.2,2.0
0.12021892684745682,0.0645,11.000000014901161,250.0,0.2,2.0
0.12021893344973285,0.0645,11.0,250.00000001490116,0.2,2.0
0.12021768811187991,0.0645,11.0,250.0,0.2000000149011612,2.0
0.12021899377002063,0.0645,11.0,250.0,0.2,2.000000014901161
775.5697602021681,0.9454999748971087,11.00000130944629,250.0000001176225,0.2002249224123433,1.9999892287784955
777.8678448449241,0.9454999599959475,11.00000130944629,250.0000001176225,0.2002249224123433,1.9999892287784955
775.5697602008917,0.9454999748971087,11.000001324347451,250.0000001176225,0.2002249224123433,1.9999892287784955
775.5697601995521,0.9454999748971087,11.00000130944629,250.00000013252367,0.2002249224123433,1.9999892287784955
775.5697544413199,0.9454999748971087,11.00000130944629,250.0000001176225,0.2002249373135045,1.9999892287784955
775.5697603735398,0.9454999748971087,11.00000130944629,250.0000001176225,0.2002249224123433,1.9999892436796567
0.5793140633525612,0.063274250511736,11.00000000158916,250.00000000014276,0.2000002729688502,1.9999999869279015
0.5896980581227235,0.0632742654128972,11.00000000158916,250.00000000014276,0.2000002729688502,1.9999999869279015
0.5793140806441086,0.063274250511736,11.000000016490322,250.00000000014276,0.2000002729688502,1.9999999869279015
0.5793140649592146,0.063274250511736,11.00000000158916,250.00000001504392,0.2000002729688502,1.9999999869279015
0.5793171629717346,0.063274250511736,11.00000000158916,250.00000000014276,0.2000002878700114,1.9999999869279015
0.5793139152090652,0.063274250511736,11.00000000158916,250.00000000014276,0.2000002729688502,2.0000000018290627
0.046214345599230634,0.06430764671163207,11.000000000249383,250.0000000000224,0.20000004283620468,1.9999999979486338
0.04618533851483477,0.06430766161279326,11.000000000249383,250.0000000000224,0.20000004283620468,1.9999999979486338
1.249584246173582,0.0645,11.0,250.0,0.2,2.0
1.237550596156395,0.0645000149011612,11.0,250.0,0.2,2.0
1.2495842213458528,0.0645,11.000000014901161,250.0,0.2,2.0
1.2495842439002547,0.0645,11.0,250.00000001490116,0.2,2.0
1.2495798220279342,0.0645,11.0,250.0,0.2000000149011612,2.0
1.2495844498975965,0.0645,11.0,250.0,0.2,2.000000014901161
741.3845721937562,1.0744999315948034,11.000002083823675,250.00000019080332,0.20037132431101884,1.9999829011779084
734.8863424430784,1.0744999464959646,11.000002083823675,250.00000019080332,0.20037132431101884,1.9999829011779084
741.3845721910357,1.0744999315948034,11.000002098724837,250.00000019080332,0.20037132431101884,1.9999829011779084
741.3845721892592,1.0744999315948034,11.000002083823675,250.00000020570448,0.20037132431101884,1.9999829011779084
741.3845602035817,1.0744999315948034,11.000002083823675,250.00000019080332,0.20037133921218003,1.9999829011779084
1.1952732646508897,0.0645,10.0,250.0,0.2,2.0
1.2148680997282622,0.0645000149011612,10.0,250.0,0.2,2.0
1.1952732397473405,0.0645,10.000000014901161,250.0,0.2,2.0
1.1952732624407785,0.0645,10.0,250.00000001490116,0.2,2.0
1.1952690076720063,0.0645,10.0,250.0,0.2000000149011612,2.0
