LSCO 2601C, x = 22%
T=35 K, B = 45.0 T, theta= -14 to 99, phi = 0 and 45
Fixed parameters:
T=0.19,T1multvalue=-0.134,T11multvalue=0.067
cost,Tzmultvalue,invtau_iso,strength,spread_xy,spread_z,n,strength_fwd,spread_xy_fwd,spread_z_fwd
6.344093392295944,0.08909408166377256,10.0,20.999999999999943,0.1369513035574913,0.4000000000000001,2.318873746507372,0.34999999999999964,0.5,0.5
375.7255722906191,0.08082727075852758,20.636383512296995,474.80928107787685,0.09844666622451809,0.5063867596857456,7.185596090797838,1.0655797845744992,0.20154804616972466,0.20445833724716522
289.1006862978636,0.12135482719441196,29.486583704850275,65.32189842298783,0.21143367966697557,0.14169296671440312,4.173430269668063,1.8785507664464642,0.29289800720867254,0.5969981407126296
90.30705750296895,0.10067131040669232,12.573804437328,313.4992024069088,0.05984318779224809,0.38410740761417567,2.9737514013219366,9.705339566289942,0.6972371033307339,0.9446996882705379
35849.93876737265,0.09350834492347115,13.095359173177451,700.6718634133485,0.15107043108984303,0.35952664738619,6.106510218391088,0.4200774760018664,0.37933702814978176,0.30491888514034843
5176231.872538608,0.07087341734764574,1.1113339979215855,250.7989426614769,0.2141987489936918,0.46571011955320596,11.895066622875927,5.153493941525953,0.58140800275815,0.819552274386982
54168.06710753893,0.06699022561884291,3.7402082898027054,932.3385492844118,0.12405680689710166,0.5789497589287199,3.5315201699992125,4.892270365796321,0.6280387599309926,0.8640107797318077
3206042.0844676746,0.12438233948483343,19.658313160995192,861.0619978973425,0.24863208912442605,0.9078731257601567,0.9027538143127218,2.696834760735058,0.369267145051802,0.5393385387926442
59982.51527111107,0.12636897594119123,4.292847997379692,458.2372662554627,0.1734622789624612,0.8716792099364656,9.038394196307998,3.6908451485893474,0.9298247556056068,0.31972265331247696
395554.49762017245,0.11404071423020314,18.846288167301307,232.48310535903005,0.3761068076221573,0.7611228592070586,10.243105570893722,7.900010419851497,0.6639686431475212,0.8462367964802018
523397.88953683584,0.10209582091779917,16.188321839965425,199.83821543059298,0.2280745901295793,0.6774507292091829,10.074219854543198,9.087241739825464,0.7087552708358957,0.39181021543052597
58819.38234254513,0.11966443665581249,27.814138829051217,90.30721506257987,0.3177022772214779,0.5167627910040973,4.517168504451806,2.6425469845730887,0.8346314651530652,0.6414562423026903
86346811.04652673,0.06549176154514574,9.511428915601154,890.0225012430401,0.24270123656637554,0.685364788016093,9.177613624431398,8.586166183044408,0.43775732864313777,0.4712628475549556
980839.5225677632,0.06447979855179231,24.808497503888233,510.86932822013887,0.15752307199174653,0.6533797495317386,7.546307827881945,8.391245288883304,0.7305969936629151,0.5325181559759067
339274.1111902882,0.07535864404551727,13.866937644379071,357.1276983488077,0.37765750242573354,0.12455948251586912,2.566111410496693,2.044449351880063,0.8467542983447318,0.9128818239841259
623.9610028260798,0.08838430729069227,8.22970374627431,212.39604315871463,0.09238484082623802,0.8330191641869484,7.912114907263506,4.601636112347688,0.32966187436775357,0.5752901868952335
54474.84225170505,0.061385426130009614,22.696908365402617,24.872471718378392,0.3528809618294724,0.23285983024966583,1.3555764203187097,6.280288778168036,0.9014990124111589,0.5068329958536315
43705741.94852688,0.07901825178930841,26.73495496706957,947.0022080367037,0.2649818921098838,0.7090300960568023,10.471465365224628,9.45528898338918,0.8166994154664688,0.7818125400696363
3.005702704057316,0.07377098917302716,17.108644490458044,271.73527407820427,0.08477921722605325,0.24348713042943154,8.298812838543963,1.152312484193919,0.3593326068965086,0.9482344428165363
2412.1066378026194,0.06878020858257239,7.030478765396922,4.3880567444729195,0.2927172156039613,0.41432152659385574,4.972655189640108,4.83807644787766,0.6101761890556602,0.4258386068932283
