LSCO 2601C, x = 22%
T=35 K, B = 45.0 T, theta= -14 to 99, phi = 0
Fixed parameters:
T=0.19,T1multvalue=-0.134,T11multvalue=0.067,mumultvalue=0.805
h_func_val =  strength*np.exp(-(deltak[:,0]**2 + deltak[:,1]**2 + deltak[:,2]**2)/(spread**2))
cost,Tzmultvalue,invtau_iso,strength,spread
119.44961932901458,0.032,5.0,6.0,0.202
119.44987061811949,0.03200001,5.0,6.0,0.202
119.44961888870384,0.032,5.00000001,6.0,0.202
119.44961924817403,0.032,5.0,6.00000001,0.202
119.44961162085747,0.032,5.0,6.0,0.20200001
820.0964891398029,0.9675282859287944,5.001751381320998,6.00032155161348,0.23265998852372077
820.113025287722,0.9675282759287943,5.001751381320998,6.00032155161348,0.23265998852372077
820.0964891393836,0.9675282859287944,5.001751391320998,6.00032155161348,0.23265998852372077
820.096489138516,0.9675282859287944,5.001751381320998,6.00032156161348,0.23265998852372077
820.0964890441481,0.9675282859287944,5.001751381320998,6.00032155161348,0.23265999852372077
11.859649161964626,0.02454972556437935,5.0000130544294406,6.00000239677836,0.20222853313098835
11.85950968231188,0.024549735564379352,5.0000130544294406,6.00000239677836,0.20222853313098835
11.859649307920897,0.02454972556437935,5.0000130644294405,6.00000239677836,0.20222853313098835
11.859649196763996,0.02454972556437935,5.0000130544294406,6.00000240677836,0.20222853313098835
11.859652265509872,0.02454972556437935,5.0000130544294406,6.00000239677836,0.20222854313098834
16.789224607058543,0.027208957317317907,5.000009602046646,6.000001664799871,0.20216137018747832
16.789357758827176,0.02720896731731791,5.000009602046646,6.000001664799871,0.20216137018747832
16.789224393793305,0.027208957317317907,5.000009612046646,6.000001664799871,0.20216137018747832
16.789224566723817,0.027208957317317907,5.000009602046646,6.000001674799871,0.20216137018747832
16.789220765621963,0.027208957317317907,5.000009602046646,6.000001664799871,0.2021613801874783
4.996142932030931,0.025606295109911414,5.000011682724054,6.00000210594768,0.20220184785971684
4.996143771040462,0.025606305109911416,5.000011682724054,6.00000210594768,0.20220184785971684
4.996142902615533,0.025606295109911414,5.000011692724054,6.00000210594768,0.20220184785971684
4.996142929321586,0.025606295109911414,5.000011682724054,6.00000211594768,0.20220184785971684
4.996142583653061,0.025606295109911414,5.000011682724054,6.00000210594768,0.20220185785971684
4.995743739207734,0.025599975926003053,5.000011904546547,6.0000021264015855,0.20220447552891524
4.995743880026518,0.025599985926003054,5.000011904546547,6.0000021264015855,0.20220447552891524
4.995743710703973,0.025599975926003053,5.000011914546547,6.0000021264015855,0.20220447552891524
4.995743736689756,0.025599975926003053,5.000011904546547,6.000002136401585,0.20220447552891524
4.995743408509316,0.025599975926003053,5.000011904546547,6.0000021264015855,0.20220448552891523
4.995598322054879,0.025597559534870307,5.000012283082335,6.000002159937472,0.20220887310215876
4.995598186015364,0.02559756953487031,5.000012283082335,6.000002159937472,0.20220887310215876
