LSCO 2511A, x = 24%
T=30 K, B = 45.0 T, theta= -14 to 99, phi = 0
Fixed parameters:
T=0.19,T1multvalue=-0.134,T11multvalue=0.067
cost,Tzmultvalue,invtau_iso,strength,spread_xy,angular_exponent
37268.163758191826,0.05,15.0,5000.0,0.175,2
7212.993684849096,0.07666666666666666,15.0,5000.0,0.175,2
766951.2710326246,0.023333333333333334,15.0,5000.0,0.175,2
47696.101209472756,0.05,24.999999999999996,5000.0,0.175,2
27525.891226277457,0.05,5.000000000000001,5000.0,0.175,2
88688.98588426603,0.05,15.0,8333.333333333332,0.175,2
6224.871262420509,0.05,15.0,1666.6666666666667,0.175,2
174872.80798340586,0.05,15.0,5000.0,0.2583333333333333,2
17095.466896458798,0.05,15.0,5000.0,0.09166666666666667,2
744.7580056954035,0.07666666666666666,15.0,1666.6666666666667,0.175,2
158824.9233675004,0.023333333333333334,15.0,1666.6666666666667,0.175,2
9323.371264252972,0.05,24.999999999999996,1666.6666666666667,0.175,2
3550.986304377138,0.05,5.000000000000001,1666.6666666666667,0.175,2
23647.099548309823,0.05,15.0,1666.6666666666667,0.2583333333333333,2
2556.2907970808615,0.05,15.0,1666.6666666666667,0.09166666666666667,2
1215.3227025495974,0.07666666666666666,24.999999999999996,1666.6666666666667,0.175,2
352.4281080410906,0.07666666666666666,5.000000000000001,1666.6666666666667,0.175,2
3446.080337275355,0.07666666666666666,15.0,1666.6666666666667,0.2583333333333333,2
147.15451875635557,0.07666666666666666,15.0,1666.6666666666667,0.09166666666666667,2
314.8672704843887,0.07666666666666666,24.999999999999996,1666.6666666666667,0.09166666666666667,2
36.07611568092634,0.07666666666666666,5.000000000000001,1666.6666666666667,0.09166666666666667,2
4141.271402776413,0.05,24.999999999999996,1666.6666666666667,0.09166666666666667,2
1283.3403006161889,0.05,5.000000000000001,1666.6666666666667,0.09166666666666667,2
1.7736315630556054,0.08555555555555555,5.000000000000001,1666.6666666666667,0.09166666666666667,2
157.305730787809,0.06777777777777777,5.000000000000001,1666.6666666666667,0.09166666666666667,2
65.29929297484645,0.07666666666666666,8.333333333333334,1666.6666666666667,0.09166666666666667,2
18.073924387919824,0.07666666666666666,1.6666666666666674,1666.6666666666667,0.09166666666666667,2
348.6085465159158,0.07666666666666666,5.000000000000001,2777.777777777778,0.09166666666666667,2
63.682900891061934,0.07666666666666666,5.000000000000001,555.5555555555558,0.09166666666666667,2
93.81123197878722,0.07666666666666666,5.000000000000001,1666.6666666666667,0.11944444444444445,2
2.3310251256026278,0.07666666666666666,5.000000000000001,1666.6666666666667,0.0638888888888889,2
4455.235144537264,0.07666666666666666,24.999999999999996,1666.6666666666667,0.2583333333333333,2
2438.0737398594456,0.07666666666666666,5.000000000000001,1666.6666666666667,0.2583333333333333,2
8.545402398582842,0.08555555555555555,8.333333333333334,1666.6666666666667,0.09166666666666667,2
1.3692045889111015,0.08555555555555555,1.6666666666666674,1666.6666666666667,0.09166666666666667,2
141.11792561431596,0.08555555555555555,5.000000000000001,2777.777777777778,0.09166666666666667,2
106.54364841101386,0.08555555555555555,5.000000000000001,555.5555555555558,0.09166666666666667,2
22.272718036803216,0.08555555555555555,5.000000000000001,1666.6666666666667,0.11944444444444445,2
8.873676819081796,0.08555555555555555,5.000000000000001,1666.6666666666667,0.0638888888888889,2
9273.689252653961,0.07666666666666666,24.999999999999996,5000.0,0.175,2
5253.680871337783,0.07666666666666666,5.000000000000001,5000.0,0.175,2
32398.11276288696,0.07666666666666666,15.0,5000.0,0.2583333333333333,2
2627.4738046485827,0.07666666666666666,15.0,5000.0,0.09166666666666667,2
102.02705190409236,0.08555555555555555,1.6666666666666674,2777.777777777778,0.09166666666666667,2
132.89150775761698,0.08555555555555555,1.6666666666666674,555.5555555555558,0.09166666666666667,2
9.996229393077014,0.08555555555555555,1.6666666666666674,1666.6666666666667,0.11944444444444445,2
19.20917928712508,0.08555555555555555,1.6666666666666674,1666.6666666666667,0.0638888888888889,2
3496.507778509199,0.07666666666666666,24.999999999999996,5000.0,0.09166666666666667,2
1825.211252590341,0.07666666666666666,5.000000000000001,5000.0,0.09166666666666667,2
10.436294286790183,0.07666666666666666,8.333333333333334,1666.6666666666667,0.0638888888888889,2
1.4479045025945931,0.07666666666666666,1.6666666666666674,1666.6666666666667,0.0638888888888889,2
145.11192011866632,0.07666666666666666,5.000000000000001,2777.777777777778,0.0638888888888889,2
101.19413668766978,0.07666666666666666,5.000000000000001,555.5555555555558,0.0638888888888889,2
3.5715620761459257,0.08851851851851851,1.6666666666666674,1666.6666666666667,0.09166666666666667,2
2.589956682086649,0.08259259259259259,1.6666666666666674,1666.6666666666667,0.09166666666666667,2
0.6976813762709065,0.08555555555555555,2.7777777777777786,1666.6666666666667,0.09166666666666667,2
3.0498748237059417,0.08555555555555555,0.5555555555555564,1666.6666666666667,0.09166666666666667,2
11.309776356788545,0.08555555555555555,1.6666666666666674,2037.0370370370372,0.09166666666666667,2
16.60527559832129,0.08555555555555555,1.6666666666666674,1296.2962962962965,0.09166666666666667,2
2.0263264449333893,0.08555555555555555,1.6666666666666674,1666.6666666666667,0.10092592592592593,2
3.457744109680331,0.08555555555555555,1.6666666666666674,1666.6666666666667,0.08240740740740742,2
22335.4105141263,0.05,24.999999999999996,5000.0,0.09166666666666667,2
12305.46450581344,0.05,5.000000000000001,5000.0,0.09166666666666667,2
103.98024737184974,0.07666666666666666,1.6666666666666674,2777.777777777778,0.0638888888888889,2
129.6418363203305,0.07666666666666666,1.6666666666666674,555.5555555555558,0.0638888888888889,2
