LSCO 2601C, x = 22%
T=35 K, B = 45.0 T, theta= -14 to 99, phi = 0
Fixed parameters:
T=0.19,T1multvalue=-0.134,T11multvalue=0.067,mumultvalue=0.805
cost,Tzmultvalue,invtau_iso,strength,spread_xy,spread_z
0.006109138800197534,0.0535,0.1,130.0,0.1,1.0
0.006109139463729536,0.05350001490116119,0.1,130.0,0.1,1.0
0.006109138749700988,0.0535,0.1000000149011612,130.0,0.1,1.0
0.0061091325046295115,0.0535,0.1,130.0,0.1000000149011612,1.0
0.006109138660453615,0.0535,0.1,130.0,0.1,1.0000000149011612
0.006109138795970169,0.0535,0.1,130.00000001490116,0.1,1.0
0.0011715591247560334,0.008971121123991906,0.1033887658501044,130.0002836936619,0.5224884182331152,1.0093780556926504
0.006109138800197534,0.0535,0.1,130.0,0.1,1.0
0.006109139463729536,0.05350001490116119,0.1,130.0,0.1,1.0
0.006109138749700988,0.0535,0.1000000149011612,130.0,0.1,1.0
0.0061091325046295115,0.0535,0.1,130.0,0.1000000149011612,1.0
0.006109138660453615,0.0535,0.1,130.0,0.1,1.0000000149011612
0.006109138795970169,0.0535,0.1,130.00000001490116,0.1,1.0
0.0011715591247560334,0.008971121123991906,0.1033887658501044,130.0002836936619,0.5224884182331152,1.0093780556926504
0.0011715591232309033,0.0089711360251531,0.1033887658501044,130.0002836936619,0.5224884182331152,1.0093780556926504
0.0011715591247567108,0.008971121123991906,0.10338878075126559,130.0002836936619,0.5224884182331152,1.0093780556926504
0.0011715591256794894,0.008971121123991906,0.1033887658501044,130.0002836936619,0.5224884331342764,1.0093780556926504
0.001171559124734625,0.008971121123991906,0.1033887658501044,130.0002836936619,0.5224884182331152,1.0093780705938116
0.006109138800196945,0.0535,0.1,130.0,0.1,1.0
0.0061091394637290165,0.05350001490116119,0.1,130.0,0.1,1.0
0.0061091387497006116,0.0535,0.1000000149011612,130.0,0.1,1.0
0.00610913250462896,0.0535,0.1,130.0,0.1000000149011612,1.0
0.006109138660453207,0.0535,0.1,130.0,0.1,1.0000000149011612
0.006109138795969645,0.0535,0.1,130.00000001490116,0.1,1.0
0.001171559125094054,0.008971116467379033,0.10338875158922747,130.00028368929634,0.5224884157301858,1.0093780435272492
0.001171559123568865,0.008971131368540226,0.10338875158922747,130.00028368929634,0.5224884157301858,1.0093780435272492
0.0011715591250946484,0.008971116467379033,0.10338876649038867,130.00028368929634,0.5224884157301858,1.0093780435272492
0.0011715591260174527,0.008971116467379033,0.10338875158922747,130.00028368929634,0.522488430631347,1.0093780435272492
0.001171559125072607,0.008971116467379033,0.10338875158922747,130.00028368929634,0.5224884157301858,1.0093780584284104
0.001171559125095417,0.008971116467379033,0.10338875158922747,130.0002837041975,0.5224884157301858,1.0093780435272492
0.00117154478445352,0.009073450518404542,0.1033887118797495,130.00028359785284,0.5224264792939757,1.0093794830406202
0.0011715447829221022,0.009073465419565736,0.1033887118797495,130.00028359785284,0.5224264792939757,1.0093794830406202
0.0011715447844541712,0.009073450518404542,0.1033887267809107,130.00028359785284,0.5224264792939757,1.0093794830406202
0.0011715447853791847,0.009073450518404542,0.1033887118797495,130.00028359785284,0.5224264941951369,1.0093794830406202
0.0011715447844319843,0.009073450518404542,0.1033887118797495,130.00028359785284,0.5224264792939757,1.0093794979417814
0.0011715447844549058,0.009073450518404542,0.1033887118797495,130.000283612754,0.5224264792939757,1.0093794830406202
0.0011714869172329127,0.00948278672250658,0.10338855304183762,130.00028323207883,0.5221787335491351,1.0093852410941042
0.0011714869156782383,0.009482801623667774,0.10338855304183762,130.00028323207883,0.5221787335491351,1.0093852410941042
0.0011714869172335602,0.00948278672250658,0.10338856794299882,130.00028323207883,0.5221787335491351,1.0093852410941042
0.001171486918167571,0.00948278672250658,0.10338855304183762,130.00028323207883,0.5221787484502963,1.0093852410941042
