LSCO 2601C, x = 22%
T=30 K, B = 45.0 T, theta= -14 to 99, phi = 0
Fixed parameters:
T=0.19,T1multvalue=-0.134,T11multvalue=0.067
cost,Tzmultvalue,invtau_iso,strength,spread_xy,mumultvalue
41080.07651644264,0.055,10.0,500.0,0.175,0.8045000000000001
5899.990629509131,0.07833333333333332,10.0,500.0,0.175,0.8045000000000001
560481.8382261307,0.03166666666666667,10.0,500.0,0.175,0.8045000000000001
43845.42602491843,0.055,16.666666666666664,500.0,0.175,0.8045000000000001
38361.24698220885,0.055,3.333333333333334,500.0,0.175,0.8045000000000001
121708.85487118506,0.055,10.0,833.3333333333333,0.175,0.8045000000000001
3204.9955485881337,0.055,10.0,166.66666666666669,0.175,0.8045000000000001
155938.85699907498,0.055,10.0,500.0,0.2583333333333333,0.8045000000000001
3693.744360510419,0.055,10.0,500.0,0.09166666666666667,0.8045000000000001
37133.54762056928,0.055,10.0,500.0,0.175,0.8055
1143314077.2581193,0.055,10.0,500.0,0.175,0.8035000000000001
113.41111751055126,0.07833333333333332,10.0,166.66666666666669,0.175,0.8045000000000001
65540.77156798761,0.03166666666666667,10.0,166.66666666666669,0.175,0.8045000000000001
3948.3517228315927,0.055,16.666666666666664,166.66666666666669,0.175,0.8045000000000001
2519.585867505384,0.055,3.333333333333334,166.66666666666669,0.175,0.8045000000000001
14271.42245347064,0.055,10.0,166.66666666666669,0.2583333333333333,0.8045000000000001
81.16513420595749,0.055,10.0,166.66666666666669,0.09166666666666667,0.8045000000000001
2811.9233275897154,0.055,10.0,166.66666666666669,0.175,0.8055
132375667.04072542,0.055,10.0,166.66666666666669,0.175,0.8035000000000001
114.02439177480076,0.07833333333333332,10.0,166.66666666666669,0.09166666666666667,0.8045000000000001
7994.282381610713,0.03166666666666667,10.0,166.66666666666669,0.09166666666666667,0.8045000000000001
215.3862796425787,0.055,16.666666666666664,166.66666666666669,0.09166666666666667,0.8045000000000001
10.364084705102242,0.055,3.333333333333334,166.66666666666669,0.09166666666666667,0.8045000000000001
70.712906663333,0.055,10.0,166.66666666666669,0.09166666666666667,0.8055
6909.8082854752,0.055,10.0,166.66666666666669,0.09166666666666667,0.8035000000000001
178.9071085457342,0.07833333333333332,3.333333333333334,166.66666666666669,0.09166666666666667,0.8045000000000001
5006.935734383222,0.03166666666666667,3.333333333333334,166.66666666666669,0.09166666666666667,0.8045000000000001
7.409702896823342,0.055,3.333333333333334,166.66666666666669,0.09166666666666667,0.8055
4165.689241706085,0.055,3.333333333333334,166.66666666666669,0.09166666666666667,0.8035000000000001
185.13714780307762,0.07833333333333332,3.333333333333334,166.66666666666669,0.09166666666666667,0.8055
4756.703200965512,0.03166666666666667,3.333333333333334,166.66666666666669,0.09166666666666667,0.8055
119.9125267251244,0.07833333333333332,10.0,166.66666666666669,0.09166666666666667,0.8055
7606.721342386288,0.03166666666666667,10.0,166.66666666666669,0.09166666666666667,0.8055
23.186922689153047,0.06277777777777778,3.333333333333334,166.66666666666669,0.09166666666666667,0.8055
205.7717079808123,0.04722222222222222,3.333333333333334,166.66666666666669,0.09166666666666667,0.8055
21.455473173818863,0.055,5.555555555555555,166.66666666666669,0.09166666666666667,0.8055
0.6483332574641278,0.055,1.1111111111111116,166.66666666666669,0.09166666666666667,0.8055
378.2662207098423,0.055,3.333333333333334,277.77777777777777,0.09166666666666667,0.8055
