LSCO 2511A, x = 24%
T=30 K, B = 45.0 T, theta= -14 to 99, phi = 0
Fixed parameters:
T=0.19,T1multvalue=-0.132,T11multvalue=0.066
cost,Tzmultvalue,invtau_iso,strength,spread_xy
15899.844776926939,0.065,15.0,500.0,0.225
1138.0959296351002,0.10166666666666667,15.0,500.0,0.225
699310.2777461577,0.028333333333333332,15.0,500.0,0.225
17585.344072639564,0.065,24.999999999999996,500.0,0.225
14258.12995777542,0.065,5.000000000000001,500.0,0.225
46882.64028231092,0.065,15.0,833.3333333333333,0.225
1259.018493004131,0.065,15.0,166.66666666666669,0.225
70448.90034348046,0.065,15.0,500.0,0.3416666666666667
65.31530690721036,0.065,15.0,500.0,0.10833333333333335
91.54064449476098,0.10166666666666667,15.0,500.0,0.10833333333333335
19881.092669140744,0.028333333333333332,15.0,500.0,0.10833333333333335
222.13278663729315,0.065,24.999999999999996,500.0,0.10833333333333335
0.9495483463844714,0.065,5.000000000000001,500.0,0.10833333333333335
316.71754894648876,0.065,15.0,833.3333333333333,0.10833333333333335
10.838217498551108,0.065,15.0,166.66666666666669,0.10833333333333335
153.3228604088822,0.10166666666666667,5.000000000000001,500.0,0.10833333333333335
9786.92363487848,0.028333333333333332,5.000000000000001,500.0,0.10833333333333335
86.82094447433315,0.065,5.000000000000001,833.3333333333333,0.10833333333333335
80.93061963439513,0.065,5.000000000000001,166.66666666666669,0.10833333333333335
187.6261937160016,0.10166666666666667,15.0,166.66666666666669,0.10833333333333335
5730.935227760957,0.028333333333333332,15.0,166.66666666666669,0.10833333333333335
34.17248930923446,0.07722222222222223,5.000000000000001,500.0,0.10833333333333335
156.5552507389141,0.05277777777777778,5.000000000000001,500.0,0.10833333333333335
10.572375604071457,0.065,8.333333333333334,500.0,0.10833333333333335
5.465694847312502,0.065,1.6666666666666674,500.0,0.10833333333333335
13.660773466726734,0.065,5.000000000000001,611.1111111111112,0.10833333333333335
5.778465242538896,0.065,5.000000000000001,388.8888888888889,0.10833333333333335
846.2626314117388,0.065,5.000000000000001,500.0,0.14722222222222223
146.06668783157298,0.065,5.000000000000001,500.0,0.06944444444444446
254.40586621163615,0.10166666666666667,5.000000000000001,166.66666666666669,0.10833333333333335
1934.4799884758986,0.028333333333333332,5.000000000000001,166.66666666666669,0.10833333333333335
58.02088584251415,0.07722222222222223,1.6666666666666674,500.0,0.10833333333333335
78.91027983364374,0.05277777777777778,1.6666666666666674,500.0,0.10833333333333335
3.1054137363955006,0.065,1.6666666666666674,611.1111111111112,0.10833333333333335
23.27232565767998,0.065,1.6666666666666674,388.8888888888889,0.10833333333333335
687.9220969872606,0.065,1.6666666666666674,500.0,0.14722222222222223
180.896736609592,0.065,1.6666666666666674,500.0,0.06944444444444446
