LSCO 2601C, x = 22%
T=35 K, B = 45.0 T, theta= -14 to 99, phi = 0
Fixed parameters:
T=0.19,T1multvalue=-0.134,T11multvalue=0.067,mumultvalue=0.805
cost,Tzmultvalue,invtau_iso,strength,spread
0.0026932912352980115,0.0535,0.1,130.0,0.1
0.0026932915395083855,0.05350001,0.1,130.0,0.1
0.00269329122107311,0.0535,0.10000001,130.0,0.1
0.002693291233951905,0.0535,0.1,130.00000001,0.1
0.0026932912352980115,0.0535,0.1,130.0,0.1
0.0026932915395083855,0.05350001,0.1,130.0,0.1
0.00269329122107311,0.0535,0.10000001,130.0,0.1
0.0026932912352980115,0.0535,0.1,130.0,0.1
0.0026932915395083855,0.05350001,0.1,130.0,0.1
0.00269329122107311,0.0535,0.10000001,130.0,0.1
0.002693291233951905,0.0535,0.1,130.00000001,0.1
0.0026932891346247503,0.0535,0.1,130.0,0.10000001
0.001174038388670327,0.08981737567988596,0.10670153205948868,130.0006341673335,1.0896538875425485
0.001174038389178435,0.08981736567988596,0.10670153205948868,130.0006341673335,1.0896538875425485
0.0011740383886704718,0.08981737567988596,0.10670154205948867,130.0006341673335,1.0896538875425485
0.001174038388670906,0.08981737567988596,0.10670153205948868,130.0006341773335,1.0896538875425485
0.0011740383887113885,0.08981737567988596,0.10670153205948868,130.0006341673335,1.0896538975425485
0.0011740261364746266,0.09005676731084775,0.10670146420047885,130.0006338945023,1.0896345989630938
0.0011740261369835043,0.09005675731084775,0.10670146420047885,130.0006338945023,1.0896345989630938
0.0011740261364747682,0.09005676731084775,0.10670147420047885,130.0006338945023,1.0896345989630938
0.001174026136475227,0.09005676731084775,0.10670146420047885,130.0006339045023,1.0896345989630938
0.001174026136515847,0.09005676731084775,0.10670146420047885,130.0006338945023,1.0896346089630937
0.0011739769561030506,0.0910143338346949,0.10670119276443954,130.00063280317755,1.0895574446452747
0.0011739769566147383,0.0910143238346949,0.10670119276443954,130.00063280317755,1.0895574446452747
0.0011739769561031998,0.0910143338346949,0.10670120276443953,130.00063280317755,1.0895574446452747
0.0011739769561035875,0.0910143338346949,0.10670119276443954,130.00063281317756,1.0895574446452747
0.0011739769561447799,0.0910143338346949,0.10670119276443954,130.00063280317755,1.0895574546452746
0.0011737775289833074,0.09484459993008351,0.10670010702028229,130.00062843787856,1.0892488273739984
0.0011737775295058894,0.09484458993008352,0.10670010702028229,130.00062843787856,1.0892488273739984
0.0011737775289835004,0.09484459993008351,0.10670011702028229,130.00062843787856,1.0892488273739984
