LSCO 2601C, x = 22%
T=35 K, B = 41.5 T, theta= -14 to 99, phi = 30
Fixed parameters:
T=0.19,T1multvalue=-0.134,T11multvalue=0.067,mumultvalue=0.805
cost,Tzmultvalue,invtau_iso,invtau_aniso
0.0015253610271282229,0.0794,14.0468,189.855
0.0015260552933321514,0.07940001490116119,14.0468,189.855
0.0015253604056936062,0.0794,14.04680001490116,189.855
0.0015253609366776381,0.0794,14.0468,189.85500001490115
793.4166929083777,0.9305995868246125,14.047704046174953,189.85513158505006
793.6044704618773,0.9305995719234513,14.047704046174953,189.85513158505006
793.4166929026225,0.9305995868246125,14.047704061076114,189.85513158505006
793.4166929076747,0.9305995868246125,14.047704046174953,189.85513159995122
0.001440135365542228,0.07939813323054896,14.046800001670936,189.8550000002432
0.0014408019151239786,0.07939814813171016,14.046800001670936,189.8550000002432
0.0014401347687529422,0.07939813323054896,14.046800016572098,189.8550000002432
0.001440135278690349,0.07939813323054896,14.046800001670936,189.85500001514436
0.00043821208486972225,0.07935323979455401,14.046800041854853,189.855000006092
0.0004382103088267125,0.0793532546957152,14.046800041854853,189.855000006092
0.00043821208197937825,0.07935323979455401,14.046800056756014,189.855000006092
0.0004382120847395029,0.07935323979455401,14.046800041854853,189.85500002099317
0.0004381116371796437,0.07935362874566608,14.04709992691411,189.85502421110797
0.000438111644408457,0.07935364364682727,14.04709992691411,189.85502421110797
0.0004381116327099423,0.07935362874566608,14.04709994181527,189.85502421110797
0.0004381116368181863,0.07935362874566608,14.04709992691411,189.85502422600914
0.00043791117304775026,0.07935435734551327,14.047773154869548,189.8550785720317
0.0004379130258555083,0.07935437224667446,14.047773154869548,189.8550785720317
0.00043791116694884855,0.07935435734551327,14.047773169770709,189.8550785720317
0.0004379111724470288,0.07935435734551327,14.047773154869548,189.85507858693285
0.00043726696208314363,0.07935727174490201,14.050466066691305,189.85529601572654
0.00043727619825485373,0.0793572866460632,14.050466066691305,189.85529601572654
0.00043726694946688897,0.07935727174490201,14.050466081592466,189.85529601572654
0.0004372669605249106,0.07935727174490201,14.050466066691305,189.8552960306277
0.0004357724551078826,0.0793643944249999,14.057624297235181,189.8558743947185
0.00043579201144434027,0.0793644093261611,14.057624297235181,189.8558743947185
0.00043577243343459764,0.0793643944249999,14.057624312136342,189.8558743947185
0.00043577245221150025,0.0793643944249999,14.057624297235181,189.85587440961967
0.00043304649189281676,0.07937757353072387,14.071442416607471,189.8569917069318
0.0004330775112609005,0.07937758843188507,14.071442416607471,189.8569917069318
0.0004330464602526035,0.07937757353072387,14.071442431508633,189.8569917069318
0.00043304648751003747,0.07937757353072387,14.071442416607471,189.85699172183297
0.00042808951371382564,0.07940205215965267,14.097739241034986,189.85911978660064
0.0004281335690971682,0.07940206706081386,14.097739241034986,189.85911978660064
0.0004280894709090155,0.07940205215965267,14.097739255936148,189.85911978660064
0.0004280895076402996,0.07940205215965267,14.097739241034986,189.8591198015018
0.0004194655698834884,0.07944811632454296,14.1480566105413,189.86319579609227
0.0004195237919929118,0.07944813122570415,14.1480566105413,189.86319579609227
0.0004194655152899642,0.07944811632454296,14.148056625442461,189.86319579609227
0.00041946556197190813,0.07944811632454296,14.1480566105413,189.86319581099343
0.0004062401896906977,0.0795346602713777,14.243979971915895,189.87097685624875
0.0004063093188763188,0.0795346751725389,14.243979971915895,189.87097685624875
0.00040624012687423414,0.0795346602713777,14.243979986817056,189.87097685624875
0.0004062401803620806,0.0795346602713777,14.243979971915895,189.8709768711499
0.00039503150075759767,0.07961289763447732,14.332476337153965,189.87817521178252
0.0003950901485196007,0.07961291253563851,14.332476337153965,189.87817521178252
0.0003950314484128698,0.07961289763447732,14.332476352055126,189.87817521178252
0.0003950314927887939,0.07961289763447732,14.332476337153965,189.87817522668368
0.00038679166471637145,0.07966631050939842,14.394941914364994,189.8832892557761
0.0003868179781928039,0.07966632541055961,14.394941914364994,189.8832892557761
0.0003867916415974637,0.07966631050939842,14.394941929266155,189.8832892557761
